"month","n_CFS"
2018-01-01,NA
2018-02-01,NA
2018-03-01,NA
2018-04-01,NA
2018-05-01,NA
2018-06-01,NA
2018-07-01,NA
2018-08-01,NA
2018-09-01,NA
2018-10-01,NA
2018-11-01,NA
2018-12-01,NA
2019-01-01,NA
2019-02-01,NA
2019-03-01,NA
2019-04-01,25
2019-05-01,19
2019-06-01,16
2019-07-01,11
2019-08-01,12
2019-09-01,10
2019-10-01,17
2019-11-01,7
2019-12-01,19
2020-01-01,13
2020-02-01,15
2020-03-01,21
2020-04-01,13
2020-05-01,18
2020-06-01,23
2020-07-01,25
2020-08-01,24
2020-09-01,24
2020-10-01,27
2020-11-01,31
2020-12-01,28
2021-01-01,29
2021-02-01,14
2021-03-01,19
2021-04-01,31
2021-05-01,76
2021-06-01,75
2021-07-01,78
2021-08-01,48
2021-09-01,42
2021-10-01,52
2021-11-01,41
2021-12-01,35
2022-01-01,17
2022-02-01,32
2022-03-01,36
2022-04-01,41
2022-05-01,32
2022-06-01,45
2022-07-01,32
2022-08-01,38
2022-09-01,24
2022-10-01,30
2022-11-01,15
2022-12-01,16
2023-01-01,26
2023-02-01,33
2023-03-01,25
2023-04-01,24
2023-05-01,15
2023-06-01,25
2023-07-01,38
2023-08-01,53
2023-09-01,30
2023-10-01,36
2023-11-01,30
2023-12-01,42
2024-01-01,19
2024-02-01,35
2024-03-01,33
2024-04-01,33
2024-05-01,27
2024-06-01,8
2024-07-01,25
2024-08-01,32
2024-09-01,38
2024-10-01,21
2024-11-01,3
2024-12-01,6
2025-01-01,9
2025-02-01,4
2025-03-01,7
2025-04-01,4
2025-05-01,9
2025-06-01,12
2025-07-01,7
